ticker,security_name,exchange,universe_source,is_watchlist,is_etf,as_of_date,price,open,sma14,sma50,sma100,sma200,gap_to_sma100_pct,gap_to_sma200_pct,bullish_alignment_active,bullish_alignment_triggered_today,recovery_close_cross_sma50_today,recovery_three_bullish_candles_today,recovery_momentum_triggered_today,ambush_trend_bullish_active,ambush_near_ma100_active,ambush_near_ma200_active,ambush_squat_active,ambush_squat_triggered_today,source,stale_days,status,status_message,error_type,error_provider,error_retryable,last_updated_utc
A,"Agilent Technologies, Inc. Common Stock",NYSE,NASDAQ_TRADER_OTHER_LISTED,False,False,2026-03-12,111.67,113.51,118.98285714285716,131.0492,138.0349,129.95645000000002,-0.1910016959479087,-0.1407121385664198,False,False,False,False,False,True,False,False,False,False,SCHWAB:A,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T22:44:32Z
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,10.5401,10.73,12.210721428571429,14.024202,13.929101,12.954400499999998,-0.2433036417784608,-0.1863691415129552,False,False,False,False,False,True,False,False,False,False,SCHWAB:AAL,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T23:06:19Z
AAON,"AAON, Inc. - Common Stock",NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,87.04,90.14,95.52642857142858,92.7218,91.78835,88.12345,-0.0517315105893068,-0.0122946843320364,True,False,False,False,False,True,False,False,False,False,SCHWAB:AAON,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T23:28:12Z
AAPL,Apple Inc. - Common Stock,NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,255.75,258.66,263.97785714285715,263.1666,267.6103,245.3348,-0.0443192956324924,0.0424530070744142,True,False,False,False,False,True,False,False,False,False,SCHWAB:AAPL,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T23:50:15Z
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,5.27,5.25,8.041428571428572,12.0656,11.88195,11.916725,-0.5564701080209898,-0.5577644025518758,False,False,False,False,False,True,False,False,False,False,SCHWAB:AARD,1,ok,Scanner signals computed successfully.,,,False,2026-03-13T00:12:03Z
ABBV,AbbVie Inc. Common Stock,NYSE,NASDAQ_TRADER_OTHER_LISTED,False,False,2026-03-12,225.36,225.12,229.7057142857143,224.81,225.7873,214.42015,-0.0018924890815381,0.0510206246940877,True,False,False,False,False,True,False,False,False,False,SCHWAB:ABBV,1,ok,Scanner signals computed successfully.,,,False,2026-03-13T00:34:00Z
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,3.47,3.62,3.503571428571429,3.6368,3.9033,4.061575,-0.1110086337201854,-0.1456516252931437,False,False,False,False,False,False,False,False,False,False,SCHWAB:ABCL,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T22:44:32Z
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,127.7,132.45,132.22857142857143,130.62070000000003,127.77105,128.573675,-0.0005560727567003,-0.0067951312739563,True,False,False,False,False,True,False,False,False,False,SCHWAB:ABNB,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T23:06:19Z
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,3.305,3.33,3.131071428571428,2.4842,2.2287,1.81455,0.4829272670166466,0.8213882229753934,True,False,False,False,False,True,False,False,False,False,SCHWAB:ABOS,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T23:28:12Z
ABSI,Absci Corporation - Common Stock,NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,2.295,2.41,2.603214285714286,2.9285,3.2578499999999995,3.0829500000000003,-0.2955476771490399,-0.2555831265508685,False,False,False,False,False,False,False,False,False,False,SCHWAB:ABSI,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T23:50:15Z
ABT,Abbott Laboratories Common Stock,NYSE,NASDAQ_TRADER_OTHER_LISTED,False,False,2026-03-12,108.13,109.78,112.875,115.2414,120.74599999999998,126.42095,-0.1044837924237654,-0.144682902635995,False,False,False,False,False,False,False,False,False,False,SCHWAB:ABT,1,ok,Scanner signals computed successfully.,,,False,2026-03-13T00:12:03Z
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,4.315,4.64,4.615357142857143,4.3902,4.4571,4.074125,-0.0318817168113794,0.0591231245973061,True,False,False,False,False,True,False,False,False,False,SCHWAB:ABUS,1,ok,Scanner signals computed successfully.,,,False,2026-03-13T00:34:00Z
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,21.29,21.54,23.22357142857143,24.7402,24.6065,23.786425,-0.1347814601832849,-0.1049516688615459,False,False,False,False,False,True,False,False,False,False,SCHWAB:ACAD,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T22:44:32Z
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ Global Select,NASDAQ_TRADER_NASDAQ_LISTED,False,False,2026-03-12,6.94,5.94,5.370714285714286,5.0082,4.5661,5.30985,0.5198966295087714,0.3070049059766284,True,False,False,False,False,False,False,False,False,False,SCHWAB:ACDC,0,ok,Scanner signals computed successfully.,,,False,2026-03-12T23:06:19Z
