ticker,benchmark_ticker,as_of_date,price,day_change,day_change_pct,intraday_quote_timestamp_utc,intraday_quote_age_seconds,intraday_quote_source,sma14,sma50,sma100,sma200,squat_bull_market_precondition,squat_price_dropping,squat_gap_to_sma100_pct,squat_gap_to_sma200_pct,rsi14,benchmark_price,benchmark_sma50,rs_ratio,rs_ratio_ma20,alpha_1m,rs_structural_divergence,rs_trend_down,rs_negative_alpha,relative_strength_weak,relative_strength_reasons,entry_bullish_alignment,entry_rsi_extreme_oversold,exit_price_below_sma50,exit_death_cross_50_lt_200,exit_rsi_overbought,rsi_bullish_divergence,rsi_bearish_divergence,weekly_macd_bullish_divergence,weekly_macd_bearish_divergence,strong_sell_weak_strength,squat_ambush_near_ma100_or_ma200,squat_dca_below_ma100,squat_last_stand_ma200,squat_breakdown_below_ma200,source,stale_days,status,status_message,error_type,error_provider,error_retryable,last_updated_utc
AAOI,QQQ,2026-04-17,157.5,0.18,0.0011441647597254438,2026-04-17T23:21:43Z,40,SCHWAB_QUOTES:AAOI,125.62,92.0846,63.0417,45.015075,True,True,1.4983463326655215,2.49882789265596,70.00991463099268,648.71,602.0975999999999,0.24278953615637186,0.1965611102287981,0.6098608966818555,False,False,False,False,KEEPING_PACE_OR_LEADING,True,False,False,False,False,False,False,False,False,False,False,False,False,False,SCHWAB:AAOI + SCHWAB_QUOTES:AAOI,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
AVGO,QQQ,2026-04-17,406.05,7.58,0.019022762064898193,2026-04-17T23:21:53Z,29,SCHWAB_QUOTES:AVGO,351.3014285714285,333.41790000000003,343.13175,333.219775,True,True,0.18336469883652562,0.2185651346772561,78.95570782509536,648.71,602.0975999999999,0.6259345470240939,0.567015550868539,0.19480088555079433,False,False,False,False,KEEPING_PACE_OR_LEADING,True,False,False,False,False,False,False,False,True,False,False,False,False,False,SCHWAB:AVGO + SCHWAB_QUOTES:AVGO,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
GOOG,QQQ,2026-04-17,338.6,5.83,0.017519608137752926,2026-04-17T23:21:43Z,40,SCHWAB_QUOTES:GOOG,310.9578571428571,307.052,314.3682,272.83325,True,True,0.07708095157207383,0.241051081567221,72.6690480600683,648.71,602.0975999999999,0.5219589647145875,0.5082879416198007,0.01499999423766707,False,False,False,False,KEEPING_PACE_OR_LEADING,True,False,False,False,False,False,False,False,True,False,False,False,False,False,SCHWAB:GOOG + SCHWAB_QUOTES:GOOG,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
IBIT,QQQ,2026-04-17,43.67,0.94,0.021998595834308562,2026-04-17T23:22:22Z,0,SCHWAB_QUOTES:IBIT,40.49285714285715,39.4717,44.91555,54.3545,False,True,-0.027730930601985313,-0.1965706611228141,65.4836010432926,648.71,602.0975999999999,0.06731821615205562,0.06708955193890014,-0.00575272328453047,False,False,False,False,KEEPING_PACE_OR_LEADING,False,False,False,True,False,False,False,False,False,False,False,False,False,False,SCHWAB:IBIT + SCHWAB_QUOTES:IBIT,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
LITE,QQQ,2026-04-17,888.59,-2.63,-0.0029510109737214104,2026-04-17T23:10:52Z,690,SCHWAB_QUOTES:LITE,825.1678571428572,703.4817999999999,528.8995,340.158125,True,True,0.6800734355014517,1.6122850953508754,61.33900875253114,648.71,602.0975999999999,1.369780024972638,1.33214731645077,0.17749491295964992,False,False,False,False,KEEPING_PACE_OR_LEADING,True,False,False,False,False,False,False,False,False,False,False,False,False,False,SCHWAB:LITE + SCHWAB_QUOTES:LITE,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
MSFT,QQQ,2026-04-17,422.5331,2.2731,0.0054087945557512,2026-04-17T23:22:21Z,2,SCHWAB_QUOTES:MSFT,383.34950714285714,392.262462,432.084231,471.9553155,False,True,-0.022104789563588582,-0.10471799739693788,71.55900205879975,648.71,602.0975999999999,0.651343589585485,0.6353223455656744,-0.011983864730468197,False,False,False,False,KEEPING_PACE_OR_LEADING,False,False,False,True,False,False,False,False,False,False,False,False,False,False,SCHWAB:MSFT + SCHWAB_QUOTES:MSFT,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
MU,QQQ,2026-04-17,453.05,-4.18,-0.009142007304857525,2026-04-17T23:22:09Z,13,SCHWAB_QUOTES:MU,404.045,406.384,356.6179,258.22195,True,True,0.27040734635025326,0.7544984072810232,61.93090255547016,648.71,602.0975999999999,0.6983860276548843,0.6653327462310672,-0.10925104197407776,False,False,True,True,NEGATIVE_ALPHA_LT_-5PCT,False,False,False,False,False,False,False,False,False,True,False,False,False,False,SCHWAB:MU + SCHWAB_QUOTES:MU,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
NVDA,QQQ,2026-04-17,200.94,2.59,0.013057726241492328,2026-04-17T23:21:59Z,23,SCHWAB_QUOTES:NVDA,184.78928571428568,183.2818,183.4657,181.77005,True,True,0.0952455963158236,0.10546264359832656,70.85366817196598,648.71,602.0975999999999,0.3097532025095959,0.3031637750407082,0.023405916289942486,False,False,False,False,KEEPING_PACE_OR_LEADING,True,False,False,False,False,False,False,False,False,False,False,False,False,False,SCHWAB:NVDA + SCHWAB_QUOTES:NVDA,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
QQQ,QQQ,2026-04-17,648.71,8.24,0.012865551860352568,2026-04-17T23:21:48Z,34,SCHWAB_QUOTES:QQQ,605.84,602.0975999999999,610.6139,598.8873,True,True,0.062389834230763656,0.08319211310709053,74.3982142220282,,,,,,False,False,False,False,self_benchmark_reference_skipped,True,False,False,False,False,False,False,False,False,False,False,False,False,False,SCHWAB:QQQ + SCHWAB_QUOTES:QQQ,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
SNDK,QQQ,2026-04-17,913.6101,-5.8599,-0.006373127997650862,2026-04-17T23:22:04Z,18,SCHWAB_QUOTES:SNDK,795.9707214285714,679.3350020000001,504.396701,304.5205505,True,True,0.8112927744941772,2.000159097636992,66.74529704109909,648.71,602.0975999999999,1.4083490311541367,1.2616089698536697,0.12173068349074678,False,False,False,False,KEEPING_PACE_OR_LEADING,True,False,False,False,False,False,False,False,False,False,False,False,False,False,SCHWAB:SNDK + SCHWAB_QUOTES:SNDK,0,ok,Signals computed successfully (price basis: intraday).,,,False,2026-04-17T23:22:17Z
