ticker,security_name,exchange,is_etf,universe_source,is_watchlist,last_refreshed_utc
A,"Agilent Technologies, Inc. Common Stock",NYSE,False,NASDAQ_TRADER_OTHER_LISTED,False,2026-02-22T04:17:51Z
AA,Alcoa Corporation Common Stock,NYSE,False,NASDAQ_TRADER_OTHER_LISTED,False,2026-02-22T04:17:51Z
AAA,Alternative Access First Priority CLO Bond ETF,NYSE Arca,True,NASDAQ_TRADER_OTHER_LISTED,False,2026-02-22T04:17:51Z
AAAA,Amplius Aggressive Asset Allocation ETF,BATS,True,NASDAQ_TRADER_OTHER_LISTED,False,2026-02-22T04:17:51Z
AAAC,Columbia AAA CLO ETF,NYSE Arca,True,NASDAQ_TRADER_OTHER_LISTED,False,2026-02-22T04:17:51Z
AAAU,Goldman Sachs Physical Gold ETF Shares,BATS,True,NASDAQ_TRADER_OTHER_LISTED,False,2026-02-22T04:17:51Z
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ Global Market,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ Global Market,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AACBU,Artius II Acquisition Inc. - Units,NASDAQ Global Market,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ Capital Market,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AACIU,Armada Acquisition Corp. III - Units,NASDAQ Global Market,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AACOU,Abony Acquisition Corp. I - Units,NASDAQ Global Market,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ Global Market,True,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ Global Market,True,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ Global Select,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ Global Market,True,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AAME,Atlantic American Corporation - Common Stock,NASDAQ Global Market,False,NASDAQ_TRADER_NASDAQ_LISTED,False,2026-02-22T04:17:51Z
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,False,NASDAQ_TRADER_OTHER_LISTED,False,2026-02-22T04:17:51Z
